iter	RMSE
0	14.57466682
1	14.17868238
2	13.80710935
3	13.45325417
4	13.11333272
5	12.80551777
6	12.51108273
7	12.23710107
8	11.94879422
9	11.66422995
10	11.38001622
11	11.14171162
12	10.93079464
13	10.67778284
14	10.4379312
15	10.20886434
16	10.00338512
17	9.815141969
18	9.60859784
19	9.421041296
20	9.261103479
21	9.109961503
22	8.942256336
23	8.777702083
24	8.623799823
25	8.490058622
26	8.351573878
27	8.231695446
28	8.100541972
29	7.98102864
30	7.886080977
31	7.778268551
32	7.66682225
33	7.565618212
34	7.465995046
35	7.364514674
36	7.267213089
37	7.185755411
38	7.10175577
39	7.020082785
40	6.946321759
41	6.87771949
42	6.805152656
43	6.745328185
44	6.676734063
45	6.612871324
46	6.550028432
47	6.499351311
48	6.44081172
49	6.381785663
50	6.329798437
51	6.272433315
52	6.224628379
53	6.176422379
54	6.131413929
55	6.08952034
56	6.04768295
57	6.013144598
58	5.975701792
59	5.944335359
60	5.909673865
61	5.875218301
62	5.843804628
63	5.811438723
64	5.781951537
65	5.756491731
66	5.726615971
67	5.699502949
68	5.676784337
69	5.651540672
70	5.629952215
71	5.607035124
72	5.587966141
73	5.566343631
74	5.546283604
75	5.528728127
76	5.51338094
77	5.496702719
78	5.475408081
79	5.455164791
80	5.444299747
81	5.428033997
82	5.413947613
83	5.399813852
84	5.392314482
85	5.377993781
86	5.364175066
87	5.349553658
88	5.336875269
89	5.325026355
90	5.309325698
91	5.30022933
92	5.291064353
93	5.282527393
94	5.271019266
95	5.258457047
96	5.246791459
97	5.237226234
98	5.228346826
99	5.214877956
100	5.207135043
101	5.197263892
102	5.190138321
103	5.18089004
104	5.172415974
105	5.164056488
106	5.154128763
107	5.146355662
108	5.13894586
109	5.131827687
110	5.123624258
111	5.116971403
112	5.110441493
113	5.104099823
114	5.097199146
115	5.089087556
116	5.082744265
117	5.07786093
118	5.068241232
119	5.061560262
120	5.058672429
121	5.051732866
122	5.047940241
123	5.039882346
124	5.034791698
125	5.028702451
126	5.02145372
127	5.017878542
128	5.009695334
129	5.004684497
130	4.999022197
131	4.993993769
132	4.98684299
133	4.979773104
134	4.973982687
135	4.9698459
136	4.965039134
137	4.959763189
138	4.955271521
139	4.951708055
140	4.9475776
141	4.943608894
142	4.942612126
143	4.937579369
144	4.934231912
145	4.928777277
146	4.923094531
147	4.920225356
148	4.914143158
149	4.907705667
150	4.904153944
151	4.898217996
152	4.890647812
153	4.886600748
154	4.883411999
155	4.878301545
156	4.870623472
157	4.866879278
158	4.861176797
159	4.859204151
160	4.853408535
161	4.850275793
162	4.848141957
163	4.843570783
164	4.836847126
165	4.832828786
166	4.827819753
167	4.822700836
168	4.818908701
169	4.816337957
170	4.810501881
171	4.807439245
172	4.801286227
173	4.796018646
174	4.79082097
175	4.787654036
176	4.783345594
177	4.77753254
178	4.771383861
179	4.768646128
180	4.764600858
181	4.76045035
182	4.756089104
183	4.750772599
184	4.746491199
185	4.741421787
186	4.737839686
187	4.735214617
188	4.732959373
189	4.728573954
190	4.725108252
191	4.722239383
192	4.719018226
193	4.715598636
194	4.711118221
195	4.708412799
196	4.705980297
197	4.702554014
198	4.702312476
199	4.699356106
200	4.695570091
201	4.692168965
202	4.685733359
203	4.679873725
204	4.67669583
205	4.673167233
206	4.670257512
207	4.666492578
208	4.663585421
209	4.660598873
210	4.656362242
211	4.654153138
212	4.652030046
213	4.649368636
214	4.644368849
215	4.643522229
216	4.641411289
217	4.636887978
218	4.634558079
219	4.63340345
220	4.630751597
221	4.627488645
222	4.623419644
223	4.61977127
224	4.617986027
225	4.616344781
226	4.611477911
227	4.609284608
228	4.606277483
229	4.604021245
230	4.600127129
231	4.598368518
232	4.594799253
233	4.588207034
234	4.587537488
235	4.586509485
236	4.581688278
237	4.580497357
238	4.576515896
239	4.57206761
240	4.567037461
241	4.565450999
242	4.56346664
243	4.557851369
244	4.556821187
245	4.553764068
246	4.550595893
247	4.547668797
248	4.545331251
249	4.542953315
250	4.538533699
251	4.536405933
252	4.534280044
253	4.533718388
254	4.531733027
255	4.530527623
256	4.527223754
257	4.521939749
258	4.520871367
259	4.519726683
260	4.51854917
261	4.515317688
262	4.514161616
263	4.508394263
264	4.505409942
265	4.504918961
266	4.501735554
267	4.497832518
268	4.493059909
269	4.490360644
270	4.485250877
271	4.482969612
272	4.479111192
273	4.477343028
274	4.472931878
275	4.47249922
276	4.466019692
277	4.463356269
278	4.46056365
279	4.457545147
280	4.453258806
281	4.449897471
282	4.444296974
283	4.442644833
284	4.436974037
285	4.435498076
286	4.434272935
287	4.431996005
288	4.430124335
289	4.425661831
290	4.425466385
291	4.419421052
292	4.414907075
293	4.407694317
294	4.40353699
295	4.402481535
296	4.400526305
297	4.395639121
298	4.390262524
299	4.389166759
300	4.386982477
301	4.386746794
302	4.385830532
303	4.384635458
304	4.378489997
305	4.377647503
306	4.373904961
307	4.36880156
308	4.367163052
309	4.3632323
310	4.35833787
311	4.352419222
312	4.348072131
313	4.344228944
314	4.341483985
315	4.341163566
316	4.337626088
317	4.331833664
318	4.327118157
319	4.324600572
320	4.320064223
321	4.315519232
322	4.31376209
323	4.312332032
324	4.309045719
325	4.30305567
326	4.298594505
327	4.295040238
328	4.289803644
329	4.288932184
330	4.285903288
331	4.280644786
332	4.276270408
333	4.273195008
334	4.270628016
335	4.266497372
336	4.261772543
337	4.259480342
338	4.254793554
339	4.251793063
340	4.24999875
341	4.245638407
342	4.244173985
343	4.240995131
344	4.238242995
345	4.233776702
346	4.230359599
347	4.230026561
348	4.225430461
349	4.224119304
350	4.222222613
351	4.219642989
352	4.217489062
353	4.213836543
354	4.210525024
355	4.20939676
356	4.208188988
357	4.206821101
358	4.20261761
359	4.197485002
360	4.193810068
361	4.187469192
362	4.184305305
363	4.181175064
364	4.177163346
365	4.174781618
366	4.173347622
367	4.168097256
368	4.166210825
369	4.162253148
370	4.158707906
371	4.154811977
372	4.15301968
373	4.150688034
374	4.146343337
375	4.144956846
376	4.141629068
377	4.139314002
378	4.135345462
379	4.129523774
380	4.128827924
381	4.12533342
382	4.122689161
383	4.119943937
384	4.114085106
385	4.113214199
386	4.111317843
387	4.107528419
388	4.104452423
389	4.100652467
390	4.097975428
391	4.097150831
392	4.092632976
393	4.091467134
394	4.088336587
395	4.084335509
396	4.080767112
397	4.077097143
398	4.073475082
399	4.072406765
400	4.071775761
401	4.068156551
402	4.066518283
403	4.062656653
404	4.061446036
405	4.059945915
406	4.058657517
407	4.056118963
408	4.053364766
409	4.049946164
410	4.046723456
411	4.044531616
412	4.040179438
413	4.039351275
414	4.036485358
415	4.033906983
416	4.032187636
417	4.029900512
418	4.028488192
419	4.027636507
420	4.022775416
421	4.018255256
422	4.016640056
423	4.014692231
424	4.01358203
425	4.009918632
426	4.008300684
427	4.004966329
428	4.002445018
429	4.001781883
430	4.000730318
431	3.999995922
432	3.997991137
433	3.996560403
434	3.994841444
435	3.993089461
436	3.992275207
437	3.986972461
438	3.982494304
439	3.981869329
440	3.978730198
441	3.976414624
442	3.975052908
443	3.974782485
444	3.972657119
445	3.966757219
446	3.966067588
447	3.965396611
448	3.963643585
449	3.959544109
450	3.959240439
451	3.954312028
452	3.94948989
453	3.946138822
454	3.944327199
455	3.942096481
456	3.94177137
457	3.938191915
458	3.935611832
459	3.932275105
460	3.931425875
461	3.927818935
462	3.924459536
463	3.919928642
464	3.916697729
465	3.915988165
466	3.913847816
467	3.913422815
468	3.912873733
469	3.908883212
470	3.906652717
471	3.902639288
472	3.901991724
473	3.897520238
474	3.89687777
475	3.895931105
476	3.892972783
477	3.887840106
478	3.885953899
479	3.881284834
480	3.877114158
481	3.873977596
482	3.871607953
483	3.866871662
484	3.863954094
485	3.863779668
486	3.86083892
487	3.85787487
488	3.856297552
489	3.854347351
490	3.852381077
491	3.84890358
492	3.846957831
493	3.84515295
494	3.842562393
495	3.842030916
496	3.839725633
497	3.838311401
498	3.83461244
499	3.83450262
500	3.82995516
501	3.828089231
502	3.82655645
503	3.824803549
504	3.822504123
505	3.817288216
506	3.815909056
507	3.811622576
508	3.809673112
509	3.805590531
510	3.80501553
511	3.801369836
512	3.800751795
513	3.79929541
514	3.796158598
515	3.794439051
516	3.791932581
517	3.789623865
518	3.785671919
519	3.783138692
520	3.781561931
521	3.778210771
522	3.777336889
523	3.774024536
524	3.771479248
525	3.768535193
526	3.767453965
527	3.765987706
528	3.762687468
529	3.759705962
530	3.75577878
531	3.752613568
532	3.751966253
533	3.748449305
534	3.747978839
535	3.745707387
536	3.745074334
537	3.741842244
538	3.739461431
539	3.738774574
540	3.736328708
541	3.733785552
542	3.730433881
543	3.72987337
544	3.72732521
545	3.725516381
546	3.722848895
547	3.72121424
548	3.718044134
549	3.716823039
550	3.712488394
551	3.710122282
552	3.70635982
553	3.704554512
554	3.703693951
555	3.703142099
556	3.701353204
557	3.698184793
558	3.695973443
559	3.694063467
